Doc No,SubTotal,Total,Invoice Vendor No,Invoice Vendor Date Format (YYYY-MM-DD),Payment Date Format (YYYY-MM-DD),UUID,Remarks
OPRC-DLV0001306,163.54,166.16,,,,,
OPRC-DLV0001307,163.54,166.16,,,,,
OPRC-DLV0001308,206.74,210.05,,,,,
OPRC-DLV0001309,150.69,153.1,,,,,
OPRC-DLV0001310,292.04,296.71,,,,,
OPRC-DLV0001311,266.34,270.6,,,,,
OPRC-DLV0001312,150.69,153.1,,,,,
OPRC-DLV0001313,150.69,153.1,,,,,
OPRC-DLV0001314,163.54,166.16,,,,,
OPRC-DLV0001315,137.84,140.05,,,,,
OPRC-DLV0001316,202.09,205.32,,,,,
OPRC-DLV0001317,150.69,153.1,,,,,
OPRC-DLV0001318,241.19,245.05,,,,,
OPRC-DLV0001319,150.69,153.1,,,,,
OPRC-DLV0001320,137.84,140.05,,,,,
OPRC-DLV0001321,206.74,210.05,,,,,
OPRC-DLV0001322,137.84,140.05,,,,,
OPRC-DLV0001323,137.84,140.05,,,,,
OPRC-DLV0001324,361.78,367.57,,,,,
OPRC-DLV0001325,189.24,192.27,,,,,
OPRC-DLV0001326,137.84,140.05,,,,,
OPRC-DLV0001327,137.84,140.05,,,,,
OPRC-DLV0001328,227.79,231.43,,,,,
OPRC-DLV0001329,189.24,192.27,,,,,
OPRC-DLV0001330,176.39,179.21,,,,,
OPRC-DLV0001332,94.28,109.36,,,,,
OPRC-DLV0001333,489.01,567.25,,,,,
OPRC-DLV0001334,58.52,185.04,,,,,
OPRC-DLV0001341,240.31,278.76,,,,,
OPRC-DLV0001383,185.49,215.17,,,,,
OPRC-DLV0001384,157.2,182.35,,,,,
OPRC-DLV0001422,1081.12,1049.12,,,,,
OPRC-DLV0001424,280.67,280.67,,,,,
OPRC-DLV0001427,508.39,570.19,,,,,
OPRC-DLV0001448,495,574.2,,,,,
OPRC-DLV0001449,278.26,323.64,,,,,
OPRC-DLV0001450,291.1,337.68,,,,,
OPRC-DLV0001468,597.92,669.67,,,,,
OPRC-DLV0001469,1262.55,1414.06,,,,,
OPRC-DLV0001470,500,641.2,,,,,
OPRC-DLV0001475,431.89,500.99,,,,,
OPRC-DLV0001476,414.62,480.96,,,,,
OPRC-DLV0001479,352.01,394.25,,,,,
OPRC-DLV0001490,322.49,322.49,,,,,
OPRC-DLV0001491,886.34,1028.15,,,,,
OPRC-DLV0001545,1320.01,1478.41,,,,,
OPRC-DLV0001549,499.88,651.12,,,,,
OPRC-DLV0001551,291.1,337.68,,,,,
OPRC-DLV0001562,170.5,191.76,,,,,
OPRC-DLV0001563,1530,1713.6,,,,,
OPRC-DLV0001579,795.08,891.29,,,,,
OPRC-DLV0001615,330,382.8,,,,,
OPRC-DLV0001625,456.6,543.62,,,,,
OPRC-DLV0001767,137.84,159.89,,,,,
OPRC-DLV0001768,240.64,279.14,,,,,
OPRC-DLV0001769,137.84,159.89,,,,,
OPRC-DLV0001770,163.54,189.71,,,,,
OPRC-DLV0001771,163.54,189.71,,,,,
OPRC-DLV0001772,189.24,219.52,,,,,
OPRC-DLV0001773,266.34,308.95,,,,,
OPRC-DLV0001774,214.94,249.33,,,,,
OPRC-DLV0001775,253.49,294.05,,,,,
OPRC-DLV0001776,317.74,368.58,,,,,
OPRC-DLV0001777,163.54,189.71,,,,,
OPRC-DLV0001778,163.54,189.71,,,,,
OPRC-DLV0001779,137.84,159.89,,,,,
OPRC-DLV0001780,150.69,174.8,,,,,
OPRC-DLV0001781,202.09,234.42,,,,,
OPRC-DLV0001782,150.69,174.8,,,,,
OPRC-DLV0001783,137.84,159.89,,,,,
OPRC-DLV0001784,202.09,234.42,,,,,
OPRC-DLV0001785,137.84,159.89,,,,,
OPRC-DLV0001786,245.73,285.05,,,,,
OPRC-DLV0001787,176.39,204.61,,,,,
OPRC-DLV0001788,150.69,174.8,,,,,
OPRC-DLV0001789,137.84,159.89,,,,,
OPRC-DLV0001790,150.69,174.8,,,,,
OPRC-DLV0001791,150.69,174.8,,,,,
OPRC-DLV0001792,150.69,174.8,,,,,
OPRC-DLV0001793,150.69,174.8,,,,,
OPRC-DLV0001794,163.54,189.71,,,,,
OPRC-DLV0001795,150.69,174.8,,,,,
OPRC-DLV0001796,163.54,189.71,,,,,
OPRC-DLV0001797,137.84,159.89,,,,,
OPRC-DLV0001798,137.84,159.89,,,,,
OPRC-DLV0001799,558.64,648.02,,,,,
OPRC-DLV0001800,137.84,159.89,,,,,
OPRC-DLV0001801,227.79,264.24,,,,,
OPRC-DLV0001802,176.39,204.61,,,,,
OPRC-DLV0001803,176.39,204.61,,,,,
OPRC-DLV0001804,189.24,219.52,,,,,
OPRC-DLV0001805,150.69,174.8,,,,,
OPRC-DLV0001806,176.39,204.61,,,,,
OPRC-DLV0001807,163.54,189.71,,,,,
OPRC-DLV0001808,150.69,174.8,,,,,
OPRC-DLV0001809,150.69,174.8,,,,,
OPRC-DLV0001810,176.39,204.61,,,,,
OPRC-DLV0001811,240.64,279.14,,,,,
OPRC-DLV0001812,202.09,234.42,,,,,
OPRC-DLV0001813,150.69,174.8,,,,,
OPRC-DLV0001814,310.09,359.7,,,,,
OPRC-DLV0001815,137.84,159.89,,,,,
OPRC-DLV0001816,266.34,308.95,,,,,
OPRC-DLV0001817,137.84,159.89,,,,,
OPRC-DLV0001818,150.69,174.8,,,,,
OPRC-DLV0001819,163.54,189.71,,,,,
OPRC-DLV0001820,150.69,174.8,,,,,
OPRC-DLV0001821,137.84,159.89,,,,,
OPRC-DLV0001822,214.94,249.33,,,,,
OPRC-DLV0001823,163.54,189.71,,,,,
OPRC-DLV0001824,163.54,189.71,,,,,
OPRC-DLV0001825,163.54,189.71,,,,,
OPRC-DLV0001826,150.69,174.8,,,,,
OPRC-DLV0001827,202.09,234.42,,,,,
OPRC-DLV0001828,253.49,294.05,,,,,
OPRC-DLV0001829,150.69,174.8,,,,,
